capacity,vehicles_available,capacity_free,hour,temp,hum,percp,wspeed
20,2,17,20,15.9,78.0,0.0,3.5
20,0,19,21,16.0,73.0,0.0,2.5
20,0,19,22,16.8,66.0,0.0,1.8
20,0,19,23,16.5,67.0,0.0,2.6
20,0,19,0,15.1,77.0,0.0,2.9
20,0,19,1,14.7,79.0,0.0,1.9
20,0,19,3,14.9,79.0,0.0,4.1
20,0,19,5,15.1,84.0,0.0,3.3
20,0,19,6,16.4,75.0,0.0,3.6
20,1,18,7,17.5,76.0,0.2,4.1
20,1,18,8,18.3,75.0,0.0,4.7
20,1,18,9,19.8,70.0,0.0,5.6
20,1,18,10,21.3,65.0,0.0,7.6
20,2,17,11,22.4,64.0,0.0,9.0
20,5,14,12,22.6,64.0,0.0,9.2
20,6,13,13,22.6,62.0,0.0,6.7
20,5,14,14,22.6,62.0,0.0,5.7
20,5,14,15,21.1,71.0,0.3,6.0
20,5,14,16,20.1,80.0,0.8,3.6
20,5,14,17,19.1,87.0,0.5,2.6
20,4,15,18,18.4,91.0,0.4,2.5
20,2,17,19,16.8,97.0,1.1,4.7
20,2,17,20,16.0,98.0,0.8,5.9
20,2,17,21,15.6,99.0,0.2,6.3
20,1,18,22,15.3,99.0,0.1,9.9
20,1,18,23,14.9,99.0,0.2,8.4
20,0,19,0,14.9,95.0,0.4,8.7
20,0,19,1,14.6,95.0,0.6,9.7
20,0,19,3,13.9,99.0,0.0,9.8
20,0,19,4,13.8,99.0,0.3,9.3
20,0,19,5,14.0,99.0,0.8,7.4
20,0,19,6,14.3,99.0,1.1,7.0
20,3,16,7,15.0,97.0,1.1,6.4
20,11,8,8,15.4,99.0,1.1,7.5
20,11,8,9,15.6,99.0,1.1,7.1
20,9,10,10,15.9,99.0,1.2,4.6
20,8,11,11,16.1,99.0,0.7,4.9
20,10,9,12,16.1,98.0,0.7,4.7
20,5,13,13,18.4,85.0,0.6,6.9
20,0,18,14,17.2,96.0,0.6,6.8
20,4,14,15,16.8,98.0,0.5,6.2
20,6,12,16,16.5,98.0,0.8,5.6
20,4,14,17,16.2,99.0,1.4,4.6
20,3,15,18,15.8,99.0,0.9,3.4
20,3,17,19,15.2,99.0,0.1,2.9
20,3,17,20,14.6,99.0,0.1,4.0
20,1,19,21,14.1,99.0,0.0,5.5
20,0,20,22,13.6,100.0,0.0,6.4
20,1,19,23,12.9,100.0,0.0,7.1
20,1,19,0,13.3,99.0,0.0,5.4
20,0,20,1,12.5,100.0,0.0,6.1
20,1,19,3,12.5,100.0,0.0,3.3
20,2,18,4,12.8,100.0,0.0,1.8
20,2,18,5,13.9,99.0,0.0,4.0
20,2,18,6,15.3,92.0,0.0,3.2
20,1,19,7,16.6,96.0,0.4,3.4
20,9,11,8,17.2,92.0,0.2,3.9
20,5,15,9,18.4,89.0,0.2,2.9
20,1,19,10,19.1,87.0,0.3,1.9
20,2,18,11,19.5,86.0,0.4,0.8
20,1,19,12,19.7,85.0,0.5,2.7
20,2,18,13,19.6,86.0,0.3,5.1
20,0,20,14,19.9,86.0,0.3,4.0
20,4,16,15,19.4,87.0,0.3,4.2
20,1,19,16,19.0,88.0,0.1,3.6
20,3,17,17,18.5,89.0,0.5,4.3
20,2,18,18,18.2,93.0,0.8,3.2
20,1,19,19,16.7,91.0,1.1,5.2
20,3,17,20,16.3,92.0,0.1,3.2
20,3,17,21,15.8,94.0,0.0,2.4
20,3,17,22,15.0,95.0,0.0,3.6
20,3,17,23,13.9,99.0,0.0,2.7
20,2,18,0,13.5,97.0,0.0,4.0
20,1,19,1,12.8,100.0,0.0,3.6
20,4,16,3,12.4,99.0,0.0,4.1
20,4,16,4,12.4,99.0,0.0,5.8
20,4,16,5,13.5,98.0,0.0,6.2
20,1,19,6,15.8,98.0,0.0,5.5
20,1,19,7,16.8,91.0,0.1,2.5
20,6,14,8,18.6,83.0,0.0,1.6
20,1,19,9,20.3,73.0,0.0,1.8
20,0,20,10,21.1,66.0,0.0,0.8
20,6,14,11,21.8,64.0,0.0,0.7
20,5,15,12,22.1,63.0,0.1,4.5
20,6,14,13,22.1,65.0,0.4,7.4
20,0,20,14,22.0,66.0,0.5,8.0
20,5,15,15,22.0,66.0,0.2,1.5
20,9,11,16,21.8,67.0,0.1,2.3
20,6,14,17,21.4,70.0,0.0,4.0
20,0,20,18,20.1,85.0,0.0,6.8
20,0,20,19,18.4,88.0,0.0,5.2
20,6,14,20,18.0,88.0,0.0,4.3
20,4,16,21,17.1,91.0,0.0,5.5
20,3,17,22,16.2,93.0,0.0,3.6
20,0,20,23,15.7,94.0,0.0,3.9
20,1,19,0,15.0,98.0,0.0,2.2
20,5,15,1,13.5,100.0,0.0,3.6
20,5,15,3,13.4,99.0,0.0,1.8
20,5,15,4,13.7,100.0,0.0,1.4
20,5,15,5,14.5,99.0,0.0,1.1
20,5,15,6,15.7,98.0,0.0,1.6
20,7,13,7,17.4,89.0,0.0,0.4
20,12,8,8,19.2,83.0,0.1,1.8
20,11,9,9,20.1,81.0,0.1,0.7
20,5,15,10,21.2,79.0,0.2,0.4
